BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 13:28:51:278 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,memory-lifetime,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,5,818,77,45,60,36.5887652597241,1087.53226653341,14090429.9600002,1487.39860912261,299.99775971727,299.280402655294,294.266778504824
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,22,69,100,561,270,18.6278954137684,543.296905847656,49676294.6800015,493.134661430656,473.191657972421,512.711651828936,437.578868767985
6,8,0.6,8,0,0,10,-1,1,0.9,5,1,1,1,1,1,1,2,932,27,23,18,42.3274119590551,1276.24743335663,6944392.39999998,1888.7055472097,147.703060520294,148.059545027357,148.40104724265
12,8,0.6,8,0,0.4,8,-0.6,1,0.9,5,1,1,1,1,1,1,4,881,46,38,35,39.7635075875272,1191.79796605018,11661627.35,1707.7286721573,217.289277193855,217.750118244508,215.981482404338
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,6,778,82,59,81,34.72280268273,1026.16152860948,16416277.2100001,1369.36843425836,331.144756955123,330.252142797658,331.938825988862
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,23,76,188,57,679,19.1130373764407,475.654972749269,51538385.380002,476.403489251328,473.5296302441,350.066173438665,562.091407065907
5,8,0.6,8,0,0,10,-1,0.8,0.9,5,1,1,1,1,1,1,3,874,37,36,53,40.6091505403903,1217.50834039033,9314252.79999992,1760.37196733725,201.363382820939,199.390802545002,203.709747296806
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,4,877,43,26,54,39.6878622572702,1189.20692571827,11670338.83,1703.21600121006,217.791182276777,218.345425819623,217.732520693541
7,8,0.6,8,0,0,10,-0.6,0.8,0.9,5,1,1,1,1,1,1,2,938,19,17,26,42.2988691849761,1273.9652913414,6950216.39999998,1885.21818241217,150.433977343927,147.356623389467,151.003116854433
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,6,745,94,73,88,34.7198851238057,1026.60047753425,16414792.51,1370.16255702922,330.253366275218,330.29957197846,330.4864447171
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,6,739,93,54,114,34.4790110611028,1016.33423405476,16459010.9500001,1349.46374748154,339.603043050697,336.038374172533,343.475825295229
