BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCampGrid3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 14:46:23:017 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,4,906,32,29,33,41.3573560460404,1244.47289625399,11605540.64,1823.57669338344,169.783461685361,169.997021375696,170.524663555501
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,7,746,97,58,99,33.8344564914817,996.845816786105,18601024.3899996,1321.22770415221,337.773027595259,332.817698584583,339.487469667947
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,3,929,24,26,21,42.2634789444045,1274.83395172794,9261408.94999996,1885.80826919619,148.14439301867,149.267278309273,147.367309475862
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,5,866,52,35,47,39.5746780286949,1184.41853976197,13944505.9700001,1698.72670009986,217.046631881332,213.380826354965,216.827101663838
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,4,914,27,26,33,41.4569434454552,1247.8956574988,11600138.45,1831.03115935017,164.814460214818,167.130869473143,169.35351096187
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,2,919,27,32,22,42.0782816451806,1267.80082538643,6952657.79999998,1869.88101838387,155.846951735598,156.006992220794,156.518837659735
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,5,874,42,33,51,40.0684594856148,1201.70664073996,13931530.3500001,1734.5836465124,201.686831261864,201.293261472621,203.216020753117
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,2,920,25,26,29,42.0515242983047,1266.35031233665,6953862.89999998,1867.10826946175,158.589746339058,156.449164433906,157.311719765287
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,8,309,39,601,51,25.7282424636037,775.048063382999,20890197.3899996,832.992777223831,452.362319957486,552.344280037646,451.473622781036
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,1,975,9,11,5,43.1390897204913,1303.74332728259,4613323.7,2000,100,100,100
