"BehaviorSpace results (NetLogo 6.3.0)"
"C:\Users\zheng\Downloads\an-abm-of-historic-british-milk-consumption_v1.0.0\code\abm_milk_choice_upload.nlogo"
"my_exp"
"11/16/2024 18:12:43:330 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","network-parameter","memory-lifetime","social-conformity","social-blindness","habit-threshold","cognitive-dissonance-threshold","social-susceptibility","justification","[step]","count turtles with [color = red]","count turtles with [color = green]","count turtles with [color = white]","count turtles with [color = yellow]"
"96","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","781","2","209","8"
"97","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","782","2","204","12"
"98","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","691","1","301","7"
"100","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","707","4","276","13"
"99","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","707","0","288","5"
"101","6","3","-0.35","0.4","2","0.55","0.8","0.23","32","764","0","229","7"
"102","6","3","-0.35","0.4","2","0.55","0.8","0.23","32","699","0","293","8"
"103","6","3","-0.35","0.4","2","0.55","0.8","0.23","32","788","1","200","11"
"107","6","3","-0.35","0.4","2","0.55","0.8","0.32","32","780","0","216","4"
"104","6","3","-0.35","0.4","2","0.55","0.8","0.23","32","722","0","269","9"
"105","6","3","-0.35","0.4","2","0.55","0.8","0.23","32","734","3","249","14"
"106","6","3","-0.35","0.4","2","0.55","0.8","0.32","32","734","1","262","3"
"108","6","3","-0.35","0.4","2","0.55","0.8","0.32","32","722","4","257","17"
"110","6","3","-0.35","0.4","2","0.55","0.8","0.32","32","726","0","273","1"
"112","6","3","-0.35","0.4","2","0.55","0.5","0.23","32","696","2","296","6"
"111","6","3","-0.35","0.4","2","0.55","0.5","0.23","32","711","1","283","5"
"109","6","3","-0.35","0.4","2","0.55","0.8","0.32","32","761","2","226","11"
"113","6","3","-0.35","0.4","2","0.55","0.5","0.23","32","754","1","238","7"
"114","6","3","-0.35","0.4","2","0.55","0.5","0.23","32","750","3","240","7"
"115","6","3","-0.35","0.4","2","0.55","0.5","0.23","32","774","0","219","7"
"117","6","3","-0.35","0.4","2","0.55","0.5","0.32","32","732","3","256","9"
"116","6","3","-0.35","0.4","2","0.55","0.5","0.32","32","743","0","251","6"
"118","6","3","-0.35","0.4","2","0.55","0.5","0.32","32","745","7","236","12"
"119","6","3","-0.35","0.4","2","0.55","0.5","0.32","32","720","1","270","9"
"120","6","3","-0.35","0.4","2","0.55","0.5","0.32","32","710","1","284","5"
"123","6","3","-0.35","0.4","3","0.43","0.8","0.23","32","764","1","232","3"
"122","6","3","-0.35","0.4","3","0.43","0.8","0.23","32","919","0","79","2"
"121","6","3","-0.35","0.4","3","0.43","0.8","0.23","32","723","0","275","2"
"124","6","3","-0.35","0.4","3","0.43","0.8","0.23","32","793","0","205","2"
"128","6","3","-0.35","0.4","3","0.43","0.8","0.32","32","878","0","122","0"
"125","6","3","-0.35","0.4","3","0.43","0.8","0.23","32","693","0","303","4"
"127","6","3","-0.35","0.4","3","0.43","0.8","0.32","32","769","0","229","2"
"126","6","3","-0.35","0.4","3","0.43","0.8","0.32","32","700","0","297","3"
"129","6","3","-0.35","0.4","3","0.43","0.8","0.32","32","785","6","200","9"
"132","6","3","-0.35","0.4","3","0.43","0.5","0.23","32","686","1","308","5"
"131","6","3","-0.35","0.4","3","0.43","0.5","0.23","32","758","0","240","2"
"130","6","3","-0.35","0.4","3","0.43","0.8","0.32","32","770","0","230","0"
"133","6","3","-0.35","0.4","3","0.43","0.5","0.23","32","760","0","239","1"
"134","6","3","-0.35","0.4","3","0.43","0.5","0.23","32","714","2","281","3"
"135","6","3","-0.35","0.4","3","0.43","0.5","0.23","32","701","0","297","2"
"137","6","3","-0.35","0.4","3","0.43","0.5","0.32","32","774","1","216","9"
"136","6","3","-0.35","0.4","3","0.43","0.5","0.32","32","740","1","253","6"
"138","6","3","-0.35","0.4","3","0.43","0.5","0.32","32","694","2","298","6"
"139","6","3","-0.35","0.4","3","0.43","0.5","0.32","32","805","2","186","7"
"140","6","3","-0.35","0.4","3","0.43","0.5","0.32","32","743","9","232","16"
"141","6","3","-0.35","0.4","3","0.55","0.8","0.23","32","887","0","111","2"
"143","6","3","-0.35","0.4","3","0.55","0.8","0.23","32","699","1","294","6"
"142","6","3","-0.35","0.4","3","0.55","0.8","0.23","32","752","1","241","6"
"144","6","3","-0.35","0.4","3","0.55","0.8","0.23","32","745","0","253","2"
"145","6","3","-0.35","0.4","3","0.55","0.8","0.23","32","727","1","266","6"
"146","6","3","-0.35","0.4","3","0.55","0.8","0.32","32","729","0","267","4"
"147","6","3","-0.35","0.4","3","0.55","0.8","0.32","32","900","0","100","0"
"149","6","3","-0.35","0.4","3","0.55","0.8","0.32","32","780","0","218","2"
"148","6","3","-0.35","0.4","3","0.55","0.8","0.32","32","786","1","204","9"
"150","6","3","-0.35","0.4","3","0.55","0.8","0.32","32","696","1","297","6"
"151","6","3","-0.35","0.4","3","0.55","0.5","0.23","32","685","2","305","8"
"152","6","3","-0.35","0.4","3","0.55","0.5","0.23","32","750","1","244","5"
"154","6","3","-0.35","0.4","3","0.55","0.5","0.23","32","740","3","244","13"
"155","6","3","-0.35","0.4","3","0.55","0.5","0.23","32","724","2","265","9"
"153","6","3","-0.35","0.4","3","0.55","0.5","0.23","32","727","0","271","2"
"156","6","3","-0.35","0.4","3","0.55","0.5","0.32","32","742","0","256","2"
"157","6","3","-0.35","0.4","3","0.55","0.5","0.32","32","701","2","288","9"
"158","6","3","-0.35","0.4","3","0.55","0.5","0.32","32","801","8","181","10"
"160","6","3","-0.35","0.4","3","0.55","0.5","0.32","32","699","2","294","5"
"159","6","3","-0.35","0.4","3","0.55","0.5","0.32","32","664","1","328","7"
"161","6","3","4","0.35","2","0.43","0.8","0.23","32","767","0","227","6"
"162","6","3","4","0.35","2","0.43","0.8","0.23","32","773","0","224","3"
"163","6","3","4","0.35","2","0.43","0.8","0.23","32","662","1","329","8"
"165","6","3","4","0.35","2","0.43","0.8","0.23","32","695","0","293","12"
"164","6","3","4","0.35","2","0.43","0.8","0.23","32","677","1","312","10"
"166","6","3","4","0.35","2","0.43","0.8","0.32","32","785","1","211","3"
"167","6","3","4","0.35","2","0.43","0.8","0.32","32","742","1","253","4"
"168","6","3","4","0.35","2","0.43","0.8","0.32","32","810","5","177","8"
"169","6","3","4","0.35","2","0.43","0.8","0.32","32","713","0","275","12"
"170","6","3","4","0.35","2","0.43","0.8","0.32","32","738","3","249","10"
"172","6","3","4","0.35","2","0.43","0.5","0.23","32","771","1","226","2"
"171","6","3","4","0.35","2","0.43","0.5","0.23","32","761","0","235","4"
"173","6","3","4","0.35","2","0.43","0.5","0.23","32","695","6","285","14"
"174","6","3","4","0.35","2","0.43","0.5","0.23","32","721","0","275","4"
